time-diff,utilization.aip [%],power.draw,memory.used [%],indicator,over baseline,total draw
0,70,183,0.015625,1,160.0,572.0
3,78,285,0.984344482421875,1,553.0,1274.0
8,81,286,0.984344482421875,1,1465.5,2701.5
11,88,264,0.984344482421875,1,1981.5,3526.5
16,69,220,0.015625,1,2676.5,4736.5
20,60,269,0.015625,1,3242.5,5714.5
26,50,186,0.984344482421875,1,3989.5,7079.5
29,81,286,0.015625,1,4388.5,7787.5
34,43,262,0.015625,1,5243.5,9157.5
38,45,274,0.015625,1,5903.5,10229.5
42,62,284,0.984344482421875,1,5883.5,11345.5
46,80,275,0.015625,1,5865.5,12463.5
50,78,265,0.015625,1,5809.5,13543.5
54,80,194,0.015625,1,5591.5,14461.5
59,52,199,0.984344482421875,1,5154.0,15444.0
62,47,272,0.015625,1,5008.5,16150.5
67,59,284,0.984344482421875,1,4978.5,17540.5
72,80,282,0.984344482421875,1,4983.5,18955.5
78,56,196,0.015625,1,4725.5,20389.5
82,61,226,0.015625,1,4441.5,21233.5
86,48,269,0.015625,1,4303.5,22223.5
93,79,311,0.015625,1,4359.5,24253.5
98,65,318,0.015625,1,4522.0,25826.0
103,57,276,0.015625,1,4597.0,27311.0
108,85,295,0.984344482421875,1,4614.5,28738.5
112,58,315,0.015625,1,4706.5,29958.5
116,83,199,0.015625,1,4606.5,30986.5
122,89,210,0.015625,1,4141.5,32213.5
126,48,209,0.984344482421875,1,3851.5,33051.5
131,61,260,0.984344482421875,1,3614.0,34224.0
134,78,302,0.015625,1,3611.0,35067.0
139,88,307,0.984344482421875,1,3723.5,36589.5
144,84,294,0.015625,1,3816.0,38092.0
149,52,240,0.984344482421875,1,3741.0,39427.0
154,78,313,0.015625,1,3713.5,40809.5
157,75,281,0.015625,1,3758.5,41700.5
161,76,282,0.984344482421875,1,3756.5,42826.5
166,74,265,0.015625,1,3714.0,44194.0
170,78,283,0.015625,1,3678.0,45290.0
174,88,317,0.015625,1,3746.0,46490.0
178,77,282,0.015625,1,3816.0,47688.0
183,86,290,0.984344482421875,1,3836.0,49118.0
188,77,198,0.984344482421875,1,3646.0,50338.0
193,88,318,0.984344482421875,1,3526.0,51628.0
197,80,201,0.984344482421875,1,3436.0,52666.0
201,86,283,0.015625,1,3272.0,53634.0
205,88,251,0.015625,1,3208.0,54702.0
209,81,294,0.015625,1,3166.0,55792.0
213,78,282,0.984344482421875,1,3190.0,56944.0
217,88,316,0.015625,1,3258.0,58140.0
221,75,276,0.984344482421875,1,3314.0,59324.0
226,72,104,0.984344482421875,1,2854.0,60274.0
231,15,104,0.984344482421875,1,1964.0,60794.0
236,21,252,0.015625,1,1444.0,61684.0
240,76,260,0.984344482421875,1,1340.0,62708.0
244,47,243,0.984344482421875,1,1218.0,63714.0
248,15,105,0.984344482421875,1,786.0,64410.0
252,75,297,0.015625,1,462.0,65214.0
257,87,283,0.015625,1,497.0,66664.0
262,48,295,0.015625,1,527.0,68109.0
267,79,222,0.015625,1,404.5,69401.5
272,64,309,0.015625,1,317.0,70729.0
278,83,315,0.015625,1,491.0,72601.0
281,74,280,0.984344482421875,1,534.5,73493.5
285,61,273,0.015625,1,508.5,74599.5
289,85,306,0.015625,1,534.5,75757.5
293,75,290,0.984344482421875,1,594.5,76949.5
296,75,288,0.984344482421875,1,612.5,77816.5
300,82,262,0.984344482421875,1,580.5,78916.5
305,87,309,0.015625,1,593.0,80344.0
310,87,313,0.984344482421875,1,733.0,81899.0
314,87,315,0.015625,1,857.0,83155.0
319,75,223,0.015625,1,787.0,84500.0
323,87,283,0.015625,1,667.0,85512.0
327,74,282,0.015625,1,669.0,86642.0
332,73,301,0.984344482421875,1,716.5,88099.5
337,51,200,0.984344482421875,1,559.0,89352.0
339,82,299,0.015625,1,494.0,89851.0
344,56,314,0.015625,1,616.5,91383.5
348,79,262,0.015625,1,640.5,92535.5
352,87,312,0.015625,1,660.5,93683.5
356,53,244,0.984344482421875,1,644.5,94795.5
360,72,294,0.015625,1,592.5,95871.5
365,74,277,0.015625,1,610.0,97299.0
370,74,307,0.984344482421875,1,660.0,98759.0
373,82,309,0.984344482421875,1,738.0,99683.0
377,81,306,0.984344482421875,1,840.0,100913.0
381,74,286,0.015625,1,896.0,102097.0
386,72,272,0.015625,1,881.0,103492.0
390,87,316,0.015625,1,929.0,104668.0
394,45,205,0.015625,1,843.0,105710.0
398,53,284,0.984344482421875,1,685.0,106688.0
401,49,269,0.015625,1,662.5,107517.5
407,78,274,0.015625,1,587.5,109146.5
411,86,275,0.015625,1,549.5,110244.5
415,73,272,0.015625,1,507.5,111338.5
418,43,202,0.015625,1,366.5,112049.5
422,84,310,0.984344482421875,1,254.5,113073.5
426,81,187,0.015625,1,112.5,114067.5
431,73,317,0.015625,1,-47.5,115327.5
435,73,272,0.984344482421875,1,-5.5,116505.5
438,73,288,0.015625,1,-17.5,117345.5
443,72,307,0.015625,1,50.0,118833.0
448,79,257,0.015625,1,40.0,120243.0
453,72,281,0.015625,1,-35.0,121588.0
458,71,275,0.015625,1,-65.0,122978.0
464,83,195,0.015625,1,-359.0,124388.0
469,79,311,0.984344482421875,1,-514.0,125653.0
473,86,304,0.015625,1,-420.0,126883.0
476,87,307,0.984344482421875,1,-355.5,127799.5
481,58,277,0.015625,1,-315.5,129259.5
484,54,256,0.015625,1,-368.0,130059.0
487,49,144,0.984344482421875,1,-620.0,130659.0
492,15,104,0.984344482421875,1,-1420.0,131279.0
495,55,313,0.015625,1,-1646.5,131904.5
500,83,293,0.984344482421875,1,-1551.5,133419.5
504,72,284,0.984344482421875,1,-1533.5,134573.5
508,61,292,0.015625,1,-1517.5,135725.5
513,87,303,0.984344482421875,1,-1450.0,137213.0
516,88,295,0.015625,1,-1405.0,138110.0
520,88,310,0.984344482421875,1,-1331.0,139320.0
524,85,270,0.015625,1,-1307.0,140480.0
528,74,257,0.015625,1,-1389.0,141534.0
533,88,269,0.015625,1,-1494.0,142849.0
538,44,268,0.015625,1,-1571.5,144191.5
542,84,295,0.984344482421875,1,-1581.5,145317.5
547,81,276,0.984344482421875,1,-1574.0,146745.0
550,71,269,0.015625,1,-1608.5,147562.5
554,76,269,0.984344482421875,1,-1668.5,148638.5
557,48,241,0.984344482421875,1,-1755.5,149403.5
562,61,206,0.984344482421875,1,-2058.0,150521.0
565,83,281,0.015625,1,-2179.5,151251.5
569,45,283,0.015625,1,-2183.5,152379.5
574,73,282,0.984344482421875,1,-2181.0,153792.0
578,87,308,0.984344482421875,1,-2129.0,154972.0
582,87,273,0.015625,1,-2095.0,156134.0
587,77,283,0.015625,1,-2120.0,157524.0
592,62,279,0.984344482421875,1,-2130.0,158929.0
597,85,295,0.015625,1,-2110.0,160364.0
600,81,228,0.984344482421875,1,-2174.5,161148.5
605,78,251,0.015625,1,-2392.0,162346.0
609,74,268,0.984344482421875,1,-2486.0,163384.0
614,73,309,0.015625,1,-2458.5,164826.5
619,76,267,0.015625,1,-2433.5,166266.5
622,84,267,0.015625,1,-2481.5,167067.5
627,71,200,0.015625,1,-2729.0,168235.0
631,54,257,0.015625,1,-2947.0,169149.0
635,87,294,0.984344482421875,1,-2977.0,170251.0
639,84,310,0.984344482421875,1,-2901.0,171459.0
644,84,295,0.015625,1,-2803.5,172971.5
648,76,268,0.015625,1,-2809.5,174097.5
652,77,263,0.984344482421875,1,-2879.5,175159.5
657,79,309,0.984344482421875,1,-2864.5,176589.5
662,62,263,0.984344482421875,1,-2849.5,178019.5
667,69,305,0.015625,1,-2844.5,179439.5
672,81,275,0.984344482421875,1,-2809.5,180889.5
676,66,278,0.984344482421875,1,-2835.5,181995.5
680,45,283,0.984344482421875,1,-2845.5,183117.5
685,78,299,0.984344482421875,1,-2805.5,184572.5
690,86,304,0.984344482421875,1,-2713.0,186080.0
693,77,301,0.015625,1,-2654.5,186987.5
698,68,304,0.015625,1,-2557.0,188500.0
703,79,294,0.984344482421875,1,-2477.0,189995.0
708,85,304,0.015625,1,-2397.0,191490.0
713,73,303,0.015625,1,-2294.5,193007.5
718,70,298,0.984344482421875,1,-2207.0,194510.0
723,83,308,0.015625,1,-2107.0,196025.0
728,46,273,0.015625,1,-2069.5,197477.5
733,25,239,0.015625,1,-2204.5,198757.5
738,21,112,0.015625,1,-2742.0,199635.0
742,76,264,0.984344482421875,1,-3122.0,200387.0
747,85,306,0.984344482421875,1,-3112.0,201812.0
751,75,307,0.015625,1,-3018.0,203038.0
755,85,294,0.984344482421875,1,-2948.0,204240.0
760,51,281,0.015625,1,-2925.5,205677.5
765,50,283,0.015625,1,-2930.5,207087.5
770,76,280,0.015625,1,-2938.0,208495.0
776,62,244,0.015625,1,-3064.0,210067.0
781,85,311,0.984344482421875,1,-3091.5,211454.5
785,86,314,0.015625,1,-2973.5,212704.5
788,44,283,0.015625,1,-2927.0,213600.0
792,48,242,0.015625,1,-3009.0,214650.0
796,67,282,0.015625,1,-3089.0,215698.0
801,79,303,0.984344482421875,1,-3036.5,217160.5
806,43,282,0.015625,1,-2984.0,218623.0
811,83,308,0.015625,1,-2919.0,220098.0
816,77,263,0.984344482421875,1,-2901.5,221525.5
821,73,267,0.984344482421875,1,-2986.5,222850.5
825,66,281,0.984344482421875,1,-3018.5,223946.5
831,81,268,0.984344482421875,1,-3063.5,225593.5
837,88,252,0.015625,1,-3195.5,227153.5
841,71,264,0.984344482421875,1,-3291.5,228185.5
847,72,226,0.984344482421875,1,-3513.5,229655.5
851,75,292,0.015625,1,-3605.5,230691.5
857,70,266,0.015625,1,-3623.5,232365.5
862,80,306,0.015625,1,-3603.5,233795.5
867,79,300,0.015625,1,-3498.5,235310.5
871,86,256,0.984344482421875,1,-3514.5,236422.5
874,71,211,0.015625,1,-3660.0,237123.0
878,79,315,0.015625,1,-3736.0,238175.0
882,86,274,0.015625,1,-3686.0,239353.0
886,74,292,0.984344482421875,1,-3682.0,240485.0
890,72,294,0.015625,1,-3638.0,241657.0
894,86,308,0.015625,1,-3562.0,242861.0
899,83,308,0.984344482421875,1,-3432.0,244401.0
904,70,221,0.984344482421875,1,-3519.5,245723.5
909,70,312,0.015625,1,-3597.0,247056.0
914,83,176,0.015625,1,-3787.0,248276.0
919,79,304,0.015625,1,-3997.0,249476.0
924,77,245,0.984344482421875,1,-4034.5,250848.5
929,80,310,0.015625,1,-4057.0,252236.0
935,70,269,0.984344482421875,1,-4012.0,253973.0
940,76,267,0.984344482421875,1,-4082.0,255313.0
944,86,312,0.015625,1,-4052.0,256471.0
948,73,281,0.015625,1,-3994.0,257657.0
951,79,268,0.015625,1,-4016.5,258480.5
956,87,274,0.015625,1,-4071.5,259835.5
960,83,309,0.015625,1,-4033.5,261001.5
965,80,311,0.015625,1,-3893.5,262551.5
971,62,268,0.984344482421875,1,-3848.5,264288.5
976,73,261,0.984344482421875,1,-3936.0,265611.0
981,59,174,0.984344482421875,1,-4258.5,266698.5
984,61,196,0.984344482421875,1,-4549.5,267253.5
988,86,285,0.015625,1,-4715.5,268215.5
994,65,278,0.984344482421875,1,-4718.5,269904.5
997,52,303,0.015625,1,-4693.0,270776.0
1002,85,295,0.984344482421875,1,-4608.0,272271.0
1005,64,191,0.984344482421875,1,-4725.0,273000.0
1010,62,271,0.984344482421875,1,-4980.0,274155.0
1013,76,314,0.015625,1,-4948.5,275032.5
1017,72,266,0.015625,1,-4916.5,276192.5
1021,47,195,0.015625,1,-5122.5,277114.5
1026,52,245,0.984344482421875,1,-5432.5,278214.5
1030,79,230,0.015625,1,-5610.5,279164.5
1035,76,203,0.015625,1,-5938.0,280247.0
1038,62,273,0.015625,1,-6070.0,280961.0
1042,87,308,0.984344482421875,1,-6036.0,282123.0
1046,69,243,0.984344482421875,1,-6062.0,283225.0
1051,81,268,0.015625,1,-6194.5,284502.5
1054,76,268,0.984344482421875,1,-6236.5,285306.5
1057,77,298,0.015625,1,-6233.5,286155.5
1061,85,248,0.015625,1,-6269.5,287247.5
1064,83,313,0.984344482421875,1,-6274.0,288089.0
1067,47,280,0.015625,1,-6230.5,288978.5
1073,85,304,0.015625,1,-6170.5,290730.5
1078,42,240,0.984344482421875,1,-6220.5,292090.5
1083,87,308,0.015625,1,-6260.5,293460.5
1088,70,288,0.984344482421875,1,-6180.5,294950.5
1092,64,204,0.984344482421875,1,-6324.5,295934.5
1095,65,200,0.015625,1,-6564.5,296540.5
1099,15,105,0.984344482421875,1,-7082.5,297150.5
1103,73,246,0.015625,1,-7508.5,297852.5
1108,52,105,0.015625,1,-8041.0,298730.0
1111,15,104,0.984344482421875,1,-8573.5,299043.5
1114,15,104,0.015625,1,-9107.5,299355.5
