time-diff,utilization.aip [%],power.draw [W],memory.used [%]
0,14,102,0.015625
3,14,102,0.015625
7,14,102,0.015625
11,14,102,0.015625
15,14,102,0.015625
18,14,103,0.015625
22,14,102,0.015625
26,14,102,0.015625
30,14,102,0.015625
34,14,103,0.015625
38,14,103,0.015625
42,14,102,0.015625
46,14,102,0.015625
51,14,102,0.015625
54,14,102,0.015625
57,14,102,0.015625
60,14,103,0.015625
64,14,102,0.015625
67,14,102,0.015625
70,14,102,0.015625
74,14,102,0.015625
78,14,103,0.015625
81,14,102,0.015625
86,14,103,0.015625
89,14,102,0.015625
92,14,102,0.015625
95,14,102,0.015625
99,14,103,0.015625
102,14,102,0.015625
106,14,103,0.015625
110,14,103,0.015625
112,14,103,0.015625
116,14,102,0.015625
120,14,102,0.015625
122,14,102,0.015625
127,14,102,0.015625
130,14,102,0.984344482421875
135,14,102,0.015625
138,14,102,0.015625
142,14,103,0.015625
145,14,103,0.984344482421875
149,14,102,0.984344482421875
152,14,102,0.984344482421875
156,14,102,0.015625
160,14,102,0.015625
163,14,102,0.015625
166,14,103,0.015625
170,14,103,0.015625
173,14,103,0.984344482421875
177,14,103,0.015625
181,70,183,0.015625
184,78,285,0.984344482421875
189,81,286,0.984344482421875
192,88,264,0.984344482421875
197,69,220,0.015625
201,60,269,0.015625
207,50,186,0.984344482421875
210,81,286,0.015625
215,43,262,0.015625
219,45,274,0.015625
223,62,284,0.984344482421875
227,80,275,0.015625
231,78,265,0.015625
235,80,194,0.015625
240,52,199,0.984344482421875
243,47,272,0.015625
248,59,284,0.984344482421875
253,80,282,0.984344482421875
259,56,196,0.015625
263,61,226,0.015625
267,48,269,0.015625
274,79,311,0.015625
279,65,318,0.015625
284,57,276,0.015625
289,85,295,0.984344482421875
293,58,315,0.015625
297,83,199,0.015625
303,89,210,0.015625
307,48,209,0.984344482421875
312,61,260,0.984344482421875
315,78,302,0.015625
320,88,307,0.984344482421875
325,84,294,0.015625
330,52,240,0.984344482421875
335,78,313,0.015625
338,75,281,0.015625
342,76,282,0.984344482421875
347,74,265,0.015625
351,78,283,0.015625
355,88,317,0.015625
359,77,282,0.015625
364,86,290,0.984344482421875
369,77,198,0.984344482421875
374,88,318,0.984344482421875
378,80,201,0.984344482421875
382,86,283,0.015625
386,88,251,0.015625
390,81,294,0.015625
394,78,282,0.984344482421875
398,88,316,0.015625
402,75,276,0.984344482421875
407,72,104,0.984344482421875
412,15,104,0.984344482421875
417,21,252,0.015625
421,76,260,0.984344482421875
425,47,243,0.984344482421875
429,15,105,0.984344482421875
433,75,297,0.015625
438,87,283,0.015625
443,48,295,0.015625
448,79,222,0.015625
453,64,309,0.015625
459,83,315,0.015625
462,74,280,0.984344482421875
466,61,273,0.015625
470,85,306,0.015625
474,75,290,0.984344482421875
477,75,288,0.984344482421875
481,82,262,0.984344482421875
486,87,309,0.015625
491,87,313,0.984344482421875
495,87,315,0.015625
500,75,223,0.015625
504,87,283,0.015625
508,74,282,0.015625
513,73,301,0.984344482421875
518,51,200,0.984344482421875
520,82,299,0.015625
525,56,314,0.015625
529,79,262,0.015625
533,87,312,0.015625
537,53,244,0.984344482421875
541,72,294,0.015625
546,74,277,0.015625
551,74,307,0.984344482421875
554,82,309,0.984344482421875
558,81,306,0.984344482421875
562,74,286,0.015625
567,72,272,0.015625
571,87,316,0.015625
575,45,205,0.015625
579,53,284,0.984344482421875
582,49,269,0.015625
588,78,274,0.015625
592,86,275,0.015625
596,73,272,0.015625
599,43,202,0.015625
603,84,310,0.984344482421875
607,81,187,0.015625
612,73,317,0.015625
616,73,272,0.984344482421875
619,73,288,0.015625
624,72,307,0.015625
629,79,257,0.015625
634,72,281,0.015625
639,71,275,0.015625
645,83,195,0.015625
650,79,311,0.984344482421875
654,86,304,0.015625
657,87,307,0.984344482421875
662,58,277,0.015625
665,54,256,0.015625
668,49,144,0.984344482421875
673,15,104,0.984344482421875
676,55,313,0.015625
681,83,293,0.984344482421875
685,72,284,0.984344482421875
689,61,292,0.015625
694,87,303,0.984344482421875
697,88,295,0.015625
701,88,310,0.984344482421875
705,85,270,0.015625
709,74,257,0.015625
714,88,269,0.015625
719,44,268,0.015625
723,84,295,0.984344482421875
728,81,276,0.984344482421875
731,71,269,0.015625
735,76,269,0.984344482421875
738,48,241,0.984344482421875
743,61,206,0.984344482421875
746,83,281,0.015625
750,45,283,0.015625
755,73,282,0.984344482421875
759,87,308,0.984344482421875
763,87,273,0.015625
768,77,283,0.015625
773,62,279,0.984344482421875
778,85,295,0.015625
781,81,228,0.984344482421875
786,78,251,0.015625
790,74,268,0.984344482421875
795,73,309,0.015625
800,76,267,0.015625
803,84,267,0.015625
808,71,200,0.015625
812,54,257,0.015625
816,87,294,0.984344482421875
820,84,310,0.984344482421875
825,84,295,0.015625
829,76,268,0.015625
833,77,263,0.984344482421875
838,79,309,0.984344482421875
843,62,263,0.984344482421875
848,69,305,0.015625
853,81,275,0.984344482421875
857,66,278,0.984344482421875
861,45,283,0.984344482421875
866,78,299,0.984344482421875
871,86,304,0.984344482421875
874,77,301,0.015625
879,68,304,0.015625
884,79,294,0.984344482421875
889,85,304,0.015625
894,73,303,0.015625
899,70,298,0.984344482421875
904,83,308,0.015625
909,46,273,0.015625
914,25,239,0.015625
919,21,112,0.015625
923,76,264,0.984344482421875
928,85,306,0.984344482421875
932,75,307,0.015625
936,85,294,0.984344482421875
941,51,281,0.015625
946,50,283,0.015625
951,76,280,0.015625
957,62,244,0.015625
962,85,311,0.984344482421875
966,86,314,0.015625
969,44,283,0.015625
973,48,242,0.015625
977,67,282,0.015625
982,79,303,0.984344482421875
987,43,282,0.015625
992,83,308,0.015625
997,77,263,0.984344482421875
1002,73,267,0.984344482421875
1006,66,281,0.984344482421875
1012,81,268,0.984344482421875
1018,88,252,0.015625
1022,71,264,0.984344482421875
1028,72,226,0.984344482421875
1032,75,292,0.015625
1038,70,266,0.015625
1043,80,306,0.015625
1048,79,300,0.015625
1052,86,256,0.984344482421875
1055,71,211,0.015625
1059,79,315,0.015625
1063,86,274,0.015625
1067,74,292,0.984344482421875
1071,72,294,0.015625
1075,86,308,0.015625
1080,83,308,0.984344482421875
1085,70,221,0.984344482421875
1090,70,312,0.015625
1095,83,176,0.015625
1100,79,304,0.015625
1105,77,245,0.984344482421875
1110,80,310,0.015625
1116,70,269,0.984344482421875
1121,76,267,0.984344482421875
1125,86,312,0.015625
1129,73,281,0.015625
1132,79,268,0.015625
1137,87,274,0.015625
1141,83,309,0.015625
1146,80,311,0.015625
1152,62,268,0.984344482421875
1157,73,261,0.984344482421875
1162,59,174,0.984344482421875
1165,61,196,0.984344482421875
1169,86,285,0.015625
1175,65,278,0.984344482421875
1178,52,303,0.015625
1183,85,295,0.984344482421875
1186,64,191,0.984344482421875
1191,62,271,0.984344482421875
1194,76,314,0.015625
1198,72,266,0.015625
1202,47,195,0.015625
1207,52,245,0.984344482421875
1211,79,230,0.015625
1216,76,203,0.015625
1219,62,273,0.015625
1223,87,308,0.984344482421875
1227,69,243,0.984344482421875
1232,81,268,0.015625
1235,76,268,0.984344482421875
1238,77,298,0.015625
1242,85,248,0.015625
1245,83,313,0.984344482421875
1248,47,280,0.015625
1254,85,304,0.015625
1259,42,240,0.984344482421875
1264,87,308,0.015625
1269,70,288,0.984344482421875
1273,64,204,0.984344482421875
1276,65,200,0.015625
1280,15,105,0.984344482421875
1284,73,246,0.015625
1289,52,105,0.015625
1292,15,104,0.984344482421875
1295,15,104,0.015625
1300,15,104,0.015625
1302,15,103,0.015625
